Date,Event mm,Flag,
13/11/2014 15:49:46,0.2,,
13/11/2014 16:10:15,0.2,,
13/11/2014 16:25:29,0.2,,
13/11/2014 16:52:55,0.2,,
13/11/2014 17:46:01,0.2,,
13/11/2014 18:50:04,0.2,,
13/11/2014 18:53:21,0.2,,
13/11/2014 18:56:25,0.2,,
13/11/2014 18:59:00,0.2,,
13/11/2014 19:15:18,0.2,,
13/11/2014 19:43:10,0.2,,
13/11/2014 20:09:00,0.2,,
13/11/2014 21:26:37,0.2,,
14/11/2014 12:41:28,0.2,,
14/11/2014 13:02:38,0.2,,
14/11/2014 13:02:39,0.2,,
14/11/2014 13:20:21,0.2,,
14/11/2014 13:20:22,0.2,,
14/11/2014 13:29:56,0.2,,
14/11/2014 13:49:23,0.2,,
14/11/2014 14:15:02,0.2,,
14/11/2014 14:15:03,0.2,,
14/11/2014 14:40:49,0.2,,
14/11/2014 15:04:30,0.2,,
14/11/2014 15:12:44,0.2,,
14/11/2014 15:31:21,0.2,,
14/11/2014 15:46:22,0.2,,
14/11/2014 15:57:04,0.2,,
14/11/2014 16:21:02,0.2,,
14/11/2014 16:21:03,0.2,,
14/11/2014 16:26:37,0.2,,
14/11/2014 16:40:01,0.2,,
14/11/2014 16:40:02,0.2,,
14/11/2014 17:36:33,0.2,,
14/11/2014 20:09:35,0.2,,
14/11/2014 20:09:36,0.2,,
15/11/2014 00:14:10,0.2,,
15/11/2014 00:14:11,0.2,,
15/11/2014 01:30:59,0.2,,
15/11/2014 11:49:25,0.2,,
15/11/2014 11:59:09,0.2,,
15/11/2014 12:56:34,0.2,,
15/11/2014 14:02:45,0.2,,
15/11/2014 14:02:46,0.2,,
15/11/2014 14:06:35,0.2,,
15/11/2014 14:09:28,0.2,,
15/11/2014 14:15:45,0.2,,
15/11/2014 15:07:37,0.2,,
15/11/2014 15:13:48,0.2,,
15/11/2014 15:49:42,0.2,,
15/11/2014 15:49:43,0.2,,
15/11/2014 16:01:29,0.2,,
15/11/2014 17:27:27,0.2,,
15/11/2014 18:06:29,0.2,,
15/11/2014 18:13:46,0.2,,
15/11/2014 18:34:15,0.2,,
15/11/2014 21:41:54,0.2,,
15/11/2014 22:16:17,0.2,,
15/11/2014 22:28:17,0.2,,
15/11/2014 22:36:32,0.2,,
15/11/2014 22:44:49,0.2,,
15/11/2014 22:54:33,0.2,,
15/11/2014 23:05:10,0.2,,
15/11/2014 23:15:53,0.2,,
16/11/2014 00:42:23,0.2,,
16/11/2014 00:54:34,0.2,,
16/11/2014 01:02:02,0.2,,
16/11/2014 01:19:25,0.2,,
16/11/2014 01:26:13,0.2,,
16/11/2014 01:47:34,0.2,,
16/11/2014 02:38:56,0.2,,
16/11/2014 02:51:37,0.2,,
16/11/2014 11:43:28,0.2,,
16/11/2014 11:46:58,0.2,,
16/11/2014 11:46:59,0.2,,
16/11/2014 11:51:39,0.2,,
16/11/2014 11:51:40,0.2,,
16/11/2014 11:53:04,0.2,,
16/11/2014 11:53:05,0.2,,
16/11/2014 11:54:55,0.2,,
16/11/2014 11:56:01,0.2,,
16/11/2014 11:57:18,0.2,,
16/11/2014 11:58:44,0.2,,
16/11/2014 12:03:51,0.2,,
16/11/2014 12:05:14,0.2,,
16/11/2014 12:06:24,0.2,,
16/11/2014 12:07:30,0.2,,
16/11/2014 12:08:43,0.2,,
16/11/2014 12:09:49,0.2,,
16/11/2014 12:11:11,0.2,,
16/11/2014 12:12:42,0.2,,
16/11/2014 12:14:31,0.2,,
16/11/2014 12:16:40,0.2,,
16/11/2014 12:19:42,0.2,,
16/11/2014 12:19:43,0.2,,
16/11/2014 12:22:25,0.2,,
16/11/2014 12:25:47,0.2,,
16/11/2014 13:03:39,0.2,,
16/11/2014 13:03:40,0.2,,
16/11/2014 13:12:02,0.2,,
16/11/2014 13:24:16,0.2,,
16/11/2014 13:36:35,0.2,,
16/11/2014 14:12:51,0.2,,
16/11/2014 14:15:07,0.2,,
16/11/2014 14:17:08,0.2,,
16/11/2014 14:17:09,0.2,,
16/11/2014 14:18:08,0.2,,
16/11/2014 14:21:04,0.2,,
16/11/2014 14:29:24,0.2,,
16/11/2014 14:32:57,0.2,,
16/11/2014 14:40:48,0.2,,
16/11/2014 14:40:49,0.2,,
16/11/2014 14:48:43,0.2,,
16/11/2014 14:55:42,0.2,,
16/11/2014 14:59:01,0.2,,
16/11/2014 14:59:02,0.2,,
16/11/2014 15:01:47,0.2,,
16/11/2014 15:04:57,0.2,,
16/11/2014 15:08:44,0.2,,
16/11/2014 15:11:11,0.2,,
16/11/2014 15:12:56,0.2,,
16/11/2014 15:15:14,0.2,,
16/11/2014 15:17:54,0.2,,
16/11/2014 15:20:56,0.2,,
16/11/2014 15:27:02,0.2,,
16/11/2014 18:24:19,0.2,,
16/11/2014 18:24:20,0.2,,
17/11/2014 11:40:40,0.2,,
17/11/2014 11:42:46,0.2,,
17/11/2014 11:45:52,0.2,,
17/11/2014 11:45:53,0.2,,
17/11/2014 11:47:45,0.2,,
17/11/2014 11:50:36,0.2,,
17/11/2014 11:50:37,0.2,,
17/11/2014 11:52:21,0.2,,
17/11/2014 11:54:17,0.2,,
17/11/2014 11:55:47,0.2,,
17/11/2014 12:02:13,0.2,,
17/11/2014 13:26:12,0.2,,
18/11/2014 11:20:28,0.2,,
18/11/2014 11:23:48,0.2,,
18/11/2014 11:26:23,0.2,,
18/11/2014 11:29:56,0.2,,
18/11/2014 11:31:46,0.2,,
18/11/2014 11:32:50,0.2,,
18/11/2014 11:32:51,0.2,,
18/11/2014 11:34:30,0.2,,
18/11/2014 11:36:52,0.2,,
18/11/2014 11:38:30,0.2,,
18/11/2014 11:38:31,0.2,,
18/11/2014 11:41:18,0.2,,
18/11/2014 11:44:32,0.2,,
18/11/2014 11:48:37,0.2,,
18/11/2014 11:49:38,0.2,,
18/11/2014 11:50:38,0.2,,
18/11/2014 11:58:25,0.2,,
18/11/2014 11:58:26,0.2,,
18/11/2014 12:04:17,0.2,,
18/11/2014 12:37:08,0.2,,
18/11/2014 13:04:07,0.2,,
18/11/2014 13:09:05,0.2,,
18/11/2014 13:09:06,0.2,,
18/11/2014 13:10:55,0.2,,
18/11/2014 13:12:37,0.2,,
18/11/2014 13:12:38,0.2,,
18/11/2014 13:13:34,0.2,,
18/11/2014 13:16:16,0.2,,
18/11/2014 13:18:40,0.2,,
18/11/2014 13:21:52,0.2,,
18/11/2014 13:23:04,0.2,,
18/11/2014 13:25:11,0.2,,
18/11/2014 13:28:19,0.2,,
