Date,Event mm,Flag
18/06/2015 02:14:13,0.1,
18/06/2015 02:23:35,0.1,
18/06/2015 02:29:30,0.1,
18/06/2015 02:42:58,0.1,
18/06/2015 02:57:13,0.1,
18/06/2015 03:21:54,0.1,
18/06/2015 03:32:38,0.1,
18/06/2015 03:52:12,0.1,
18/06/2015 04:02:51,0.1,
18/06/2015 04:28:35,0.1,
18/06/2015 04:47:53,0.1,
18/06/2015 05:02:11,0.1,
18/06/2015 05:28:00,0.1,
18/06/2015 05:58:02,0.1,
18/06/2015 06:33:52,0.1,
18/06/2015 07:03:05,0.1,
18/06/2015 07:17:15,0.1,
18/06/2015 07:47:02,0.1,
18/06/2015 08:10:28,0.1,
18/06/2015 08:28:18,0.1,
18/06/2015 11:19:24,0.1,
18/06/2015 16:52:14,0.1,
18/06/2015 17:03:25,0.1,
18/06/2015 17:15:54,0.1,
18/06/2015 17:36:09,0.1,
19/06/2015 04:20:41,0.1,
19/06/2015 06:17:38,0.1,
19/06/2015 06:47:07,0.1,
19/06/2015 06:58:47,0.1,
19/06/2015 07:09:36,0.1,
19/06/2015 18:06:35,0.1,
19/06/2015 18:32:09,0.1,
19/06/2015 19:08:26,0.1,
19/06/2015 22:06:26,0.1,
19/06/2015 22:54:08,0.1,
19/06/2015 23:52:35,0.1,
20/06/2015 00:29:35,0.1,
20/06/2015 01:50:51,0.1,
20/06/2015 02:22:57,0.1,
20/06/2015 02:45:56,0.1,
20/06/2015 03:36:46,0.1,
20/06/2015 05:06:36,0.1,
20/06/2015 06:32:52,0.1,
20/06/2015 20:33:53,0.1,
20/06/2015 21:34:08,0.1,
20/06/2015 21:38:39,0.1,
20/06/2015 21:43:32,0.1,
20/06/2015 21:55:44,0.1,
20/06/2015 22:08:18,0.1,
20/06/2015 22:25:29,0.1,
20/06/2015 23:21:29,0.1,
20/06/2015 23:55:37,0.1,
21/06/2015 00:01:33,0.1,
21/06/2015 00:48:06,0.1,
21/06/2015 01:09:40,0.1,
21/06/2015 01:52:15,0.1,
21/06/2015 02:52:00,0.1,
21/06/2015 03:38:45,0.1,
21/06/2015 04:16:14,0.1,
21/06/2015 04:30:32,0.1,
21/06/2015 04:47:58,0.1,
21/06/2015 05:17:38,0.1,
21/06/2015 06:30:44,0.1,
21/06/2015 07:19:08,0.1,
21/06/2015 08:44:37,0.1,
21/06/2015 09:23:19,0.1,
21/06/2015 09:57:23,0.1,
21/06/2015 10:07:55,0.1,
